Published,Type,Conference,Title,Speaker,Duration,DurationInMinutes,Link
1 year ago,talk,NDC Porto 2022,Hustle and Flow,Ian Cooper,58:53,59,https://youtube.com/watch?v=p0bKMuBdpL8
1 year ago,talk,NDC Porto 2022,Back to Basics: Efficient Async and Await,Filip Ekberg,1:02:00,62,https://youtube.com/watch?v=XEeeYTG3hUg
1 year ago,talk,NDC Porto 2022,"Fractals, Factories and Fast Food",Dylan Beattie,44:54,45,https://youtube.com/watch?v=Vs1DWYrw2Ps
1 year ago,talk,NDC Porto 2022,Domain-Driven Design and Team Topologies for Product-led Organizations,Nick Tune,53:37,54,https://youtube.com/watch?v=5GLSBAYPSvo
1 year ago,talk,NDC Porto 2022,Hacking C# from the inside - how to do anything in .NET,Adam Furmanek,2:18:07,138,https://youtube.com/watch?v=-1dTA2LDZ9w
1 year ago,talk,NDC Porto 2022,"What’s next for Blazor, and .NET on WASI",Steve Sanderson,1:00:49,61,https://youtube.com/watch?v=lP_qdhAHFlg
1 year ago,talk,NDC Porto 2022,Moving 17 years of old legacy code and sites into the Cloud,Scott Hanselman,1:00:17,60,https://youtube.com/watch?v=mE-DGW0CcAk
1 year ago,talk,NDC Porto 2022,Domain-Driven Refactoring,Jimmy Bogard,1:01:29,61,https://youtube.com/watch?v=gxgKgMvPH9I
1 year ago,talk,NDC Porto 2022,Developing for Linux on Windows,Scott Hanselman,1:08:42,69,https://youtube.com/watch?v=tuhzVDc0Slg
1 year ago,talk,NDC Porto 2022,Fractal Architecture,Mark Seemann,53:32,54,https://youtube.com/watch?v=t3rSCpcJzm0
1 year ago,talk,NDC Security 2022,How to use GitHub Actions with Security in mind,Rob Bos,56:28,56,https://youtube.com/watch?v=bDG40Y1nPEk
1 year ago,talk,Unknown,How to detect Malware in Encrypted Traffic Without Decryption,Christopher van der Made,46:14,46,https://youtube.com/watch?v=4v7hhuLmRdU
1 year ago,talk,NDC Security 2022,Centralized Policy Management,Noaa Barki,35:42,36,https://youtube.com/watch?v=H6HZYZGuJbE
1 year ago,talk,NDC Security 2022,Secure Coding Back to Basics,Erlend Oftedal,59:16,59,https://youtube.com/watch?v=ce3VBNrzRSE
1 year ago,talk,NDC Security 2022,Secure Data Exchange in Digital Government Context,Petteri Kivimäki,46:04,46,https://youtube.com/watch?v=TliwtyvgcJs
1 year ago,talk,NDC Security 2022,HelseID,Dag Helge Østerhagen & Rune Andreas Grimstad,1:02:40,63,https://youtube.com/watch?v=P-f4rko5he8
1 year ago,talk,NDC Security 2022,Minimum Viable Security,David Melamed,32:44,33,https://youtube.com/watch?v=SRXwTzPXYD4
1 year ago,talk,NDC Security 2022,Breaking AES with side channel analysis,Turid Herland,59:00,59,https://youtube.com/watch?v=whhM_P7xMMU
1 year ago,talk,NDC Security 2022,Demostrating Binary Exploitation,Marit Iren Rognli Tokle & Christian Resell,22:17,22,https://youtube.com/watch?v=lDL4bQLupKk
1 year ago,talk,NDC Security 2022,Vulnerabilities that Hide from your Tools,Jillian Ratliff,40:55,41,https://youtube.com/watch?v=R05XO0eN_E4
1 year ago,talk,NDC Security 2022,Measuring DevSecOps,Victoria Alamzova,47:00,47,https://youtube.com/watch?v=f5Zn1-XNkSo
1 year ago,talk,NDC Security 2022,Passwords are not going away,Per Thorsheim,1:05:20,65,https://youtube.com/watch?v=pKP-nv2Oqdg
1 year ago,talk,NDC Security 2022,Getting API Security Right,Philippe De Ryck,53:13,53,https://youtube.com/watch?v=CSe2FNy7Rko
1 year ago,talk,NDC Security 2022,ASP.NET Core Meets Owasp Top 10,Anders Abel,54:25,54,https://youtube.com/watch?v=5sjj9z8HCM8
1 year ago,talk,NDC Security 2022,Sandboxing a Linux Application,Martin Ertsås,1:01:40,62,https://youtube.com/watch?v=12rzwnsi1zg
1 year ago,talk,NDC Security 2022,Common Python Coding Mistakes,Christopher van der Made,59:17,59,https://youtube.com/watch?v=ahWjyfWAdIk
1 year ago,talk,NDC Security 2022,It doesn't take much to be above average,Alexander Lystad,47:43,48,https://youtube.com/watch?v=B5IT9qVMonM
1 year ago,talk,NDC Security 2022,Opening The Playbook; What to do when you've been hacked,Heather Wilde,1:00:45,61,https://youtube.com/watch?v=vBtDrVl6vvo
1 year ago,talk,NDC Security 2022,Why We Should Kill Saml2,Anders Abel,45:17,45,https://youtube.com/watch?v=IL3BJ87dHkc
1 year ago,talk,NDC Security 2022,Security Control Enhancements,Jim Manico,52:21,52,https://youtube.com/watch?v=ESzu0sNaIyE
1 year ago,talk,Unknown,API security for developers,Philippe De Ryck. -NDC Oslo workshop,0:18,0,https://youtube.com/watch?v=ox6i9sWm90A
1 year ago,talk,Unknown,NDC Melbourne 2022 | Conference for Software Developers,Unknown,0:34,1,https://youtube.com/watch?v=6EiC0QEULkc
