Published,Type,Conference,Title,Speaker,Duration,DurationInMinutes,Link
2 years ago,talk,NDC Sydney 2020,Hot Chocolate: An introduction to GraphQL on ASP.Net Core,Michael Staib,1:04:02,64,https://youtube.com/watch?v=x7oYYLgZgtY
2 years ago,talk,NDC Sydney 2020,The Mario Kart™ guide to career planning, Hannes Lowette,57:15,57,https://youtube.com/watch?v=VxwPJxqmZUk
2 years ago,talk,NDC Sydney 2020,Elephant in the room and Innovation!,Nelly Satari,23:27,23,https://youtube.com/watch?v=1lMYyoPl2Qk
2 years ago,talk,NDC Sydney 2020,Nerd sniping myself into a rabbit hole. Streaming online audio to a Sonos speaker,Maarten Balliauw,50:28,50,https://youtube.com/watch?v=vpop0OIPyrE
2 years ago,talk,NDC Sydney 2020,Event Sourcing with EventStore and Go,Ken Faulkner,16:17,16,https://youtube.com/watch?v=zh6nrL-fGfg
2 years ago,talk,NDC Sydney 2020,Machine Learning simplified for Developers with ML.NET,Jernej Kavka,59:09,59,https://youtube.com/watch?v=3Ll9t15FW6g
2 years ago,talk,NDC Sydney 2020,Demystifying Front-End Security,Ilya Verbitskiy,52:05,52,https://youtube.com/watch?v=KHAlHqS0c-g
2 years ago,talk,NDC Sydney 2020,Kill All Mutants! (Intro to Mutation Testing),Dave Aronson,52:16,52,https://youtube.com/watch?v=vQrnVD6CbxU
2 years ago,talk,NDC Sydney 2020,Not all “Microservices frameworks” are made the same,Dasith Wijesiriwardena,16:55,17,https://youtube.com/watch?v=4oSDZI4oiAw
2 years ago,talk,NDC Sydney 2020,IoT Solution Recipes - Beyond your first slice of Raspberry Pi,Adam Stephensen & Valeriia Savenko,55:26,55,https://youtube.com/watch?v=sh73B_3ZLVc
2 years ago,talk,NDC Sydney 2020,NDC Manchester - 25 March 2021,Live and Online,1:33,2,https://youtube.com/watch?v=WK7W3xHmVbU
2 years ago,talk,NDC Sydney 2020,Creating a hybrid and multi-cloud strategy using Azure API Management,Eldert Grootenboer,1:03:06,63,https://youtube.com/watch?v=ZVHahxlp8QI
2 years ago,talk,NDC Sydney 2020,The Persuasion Equation,Brooke Jamieson,46:17,46,https://youtube.com/watch?v=yc0dXM7Sz9s
2 years ago,talk,NDC Sydney 2020,Artificial Intelligence? - more like Artificial Stupidity!,Aiko Klosterman,55:41,56,https://youtube.com/watch?v=rJC2VXftAWc
2 years ago,talk,NDC Sydney 2020,Say YES! to NoSQL: A Guide on When to Ditch Relational Databases,Adrienne Tacke,44:56,45,https://youtube.com/watch?v=HVs5IISO9yg
2 years ago,talk,NDC Sydney 2020,Eating an Elephant: Conquering big projects one bite at a time.,Liam Elliott,47:34,48,https://youtube.com/watch?v=59V0lylQzmE
2 years ago,talk,NDC Sydney 2020,Building Rock SOLID Serverless Applications,William Liebenberg,53:13,53,https://youtube.com/watch?v=u1WBH8HaI-4
2 years ago,talk,NDC Sydney 2020,Innovation and Trends in Flutter for web,Kamal Shree,41:46,42,https://youtube.com/watch?v=qYYgxtCai6o
2 years ago,talk,NDC Sydney 2020,Biometric security in the Azure Cloud,Stefano Tempesta,59:32,60,https://youtube.com/watch?v=LiN6Gf3sE8w
2 years ago,talk,NDC Sydney 2020,Graphing Your Way Through the Cosmos: Common Data Problems Solved with Graphs,Chad Green,56:45,57,https://youtube.com/watch?v=RMpP8XeJ8kY
2 years ago,talk,NDC Sydney 2020,Cloud-Native Kubernetes Workflows on AKS with Argo,Rahul Rai & Tarun Pabbi,51:50,52,https://youtube.com/watch?v=903-02KFjwQ
2 years ago,talk,NDC Sydney 2020,Ordering the chaos - cleaning logs and ordering events in microservices,Adam Furmanek,1:01:35,62,https://youtube.com/watch?v=A0jn_77eRCw
2 years ago,other,NDC London 2021,NDC London 25-29 January 2021,Live and Online,0:31,1,https://youtube.com/watch?v=u2H06FG4kBA
2 years ago,talk,NDC Sydney 2020,Modernizing an existing system to take a more domain-driven approach,William Penberthy,58:08,58,https://youtube.com/watch?v=9xveNg4zhJA
2 years ago,talk,NDC Sydney 2020,A deep dive into Conversational AI with Microsoft Bot Framework,Arafat Tehsin,1:02:54,63,https://youtube.com/watch?v=-1mffwoCgOI
2 years ago,talk,NDC Sydney 2020,"Easier infrastructure and safer secrets with Pulumi, Azure, and .Net Core",Rian Finnegan,56:13,56,https://youtube.com/watch?v=1NPhr5UeTqs
2 years ago,talk,NDC Sydney 2020,Common mistakes and misconceptions in Web App Security using OAuth 2.0 and OpenId Connect,Unknown,1:05:10,65,https://youtube.com/watch?v=FR0HzDWBmz0
2 years ago,talk,NDC Sydney 2020,"Svelte, cybernetically enhanced web apps",Devlin Duldulao,53:18,53,https://youtube.com/watch?v=9QeSYCFUpzU
2 years ago,talk,NDC Sydney 2020,The Power of Performance Feedback,Amber Vanderburg,1:00:36,61,https://youtube.com/watch?v=FSOaB4wTlxU
2 years ago,talk,NDC Sydney 2020,Cloud-Native Kubernetes Workflows on AKS with Argo,Rahul Rai & Tarun Pabbi,51:50,52,https://youtube.com/watch?v=Z-Rh4eB6uA8
2 years ago,talk,NDC Sydney 2020,Fixing poor performance patterns in Azure SQL Database applications,Martin Cairney,58:25,58,https://youtube.com/watch?v=y4T9uGkdwHw
2 years ago,talk,NDC Sydney 2020,Serverless Azure In The Enterprise,Duncan Hunter & Adam Stephensen,54:35,55,https://youtube.com/watch?v=hI6yknJLf-I
2 years ago,talk,NDC Sydney 2020,Effective Communication in a Remote First World,Rob Crowley,55:25,55,https://youtube.com/watch?v=AyzVIIGhd-I
2 years ago,talk,NDC Sydney 2020,Introduction to PASETO (platform-agnostic security tokens),Ruby Jane Cabagnot,10:09,10,https://youtube.com/watch?v=ppblyFtQDvo
2 years ago,talk,NDC Sydney 2020,Distributed Tracing Made Easy with .NET Core,Jimmy Bogard,1:02:34,63,https://youtube.com/watch?v=kfyCHtqk-Ts
2 years ago,talk,NDC Sydney 2020,Make your mouse move like a human - modern AI directly in web browser,Jakub Ledworowski,12:47,13,https://youtube.com/watch?v=edu_GJ6tI60
2 years ago,talk,NDC Sydney 2020,The sunny side of AI,Henk Boelman,19:20,19,https://youtube.com/watch?v=OfDEVJHo-mo
2 years ago,talk,NDC Sydney 2020,Securing Serverless Applications in Azure,Sjoukje Zaal,50:26,50,https://youtube.com/watch?v=X80WADHy8GM
2 years ago,talk,NDC Sydney 2020,The Background on Background Tasks in .NET Core,Scott Sauber,58:33,59,https://youtube.com/watch?v=oyCcuPKJyxg
2 years ago,talk,NDC Sydney 2020,Common quandaries implementing your first Event Driven Architecture,Sarah & Ann,45:12,45,https://youtube.com/watch?v=oc6hbOocMa4
2 years ago,talk,NDC Sydney 2020,What We Learned Going Serverless,Illia Kavaliou,47:27,47,https://youtube.com/watch?v=v4R1YB_qo94
2 years ago,talk,NDC Sydney 2020,PWA For Games: An Enhanced Web Gaming Experience,Stephen Vinuya,56:29,56,https://youtube.com/watch?v=LWRdqkxV3xw
2 years ago,talk,NDC Sydney 2020,Rise of the Machines – Technology in Humanity,Lars Klint,46:18,46,https://youtube.com/watch?v=z3a1Tl-XNtg
